id,fullname,email,phone,cccd,specialty,license_number,experience_years,certificate_info,clinic_id,status,note,submitted_at,reviewed_at,password_hash
155,BS. Đỗ Thị Yến,do.thi.yen34@medibook.vn,0900000155,001090000155,Ngoại chấn thương chỉnh hình,CCHN-00155,11,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.698846,2026-06-05T01:40:35.698847,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
156,BS. Phan Thị Khánh,phan.thi.khanh11@medibook.vn,0900000156,001090000156,Y học cổ truyền,CCHN-00156,30,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.698877,2026-06-05T01:40:35.698878,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
157,BS. Nguyễn Minh Sơn,nguyen.minh.son80@medibook.vn,0900000157,001090000157,Ung bướu / Tầm soát ung thư,CCHN-00157,31,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.698907,2026-06-05T01:40:35.698908,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
158,BS. Nguyễn Minh Linh,nguyen.minh.linh38@medibook.vn,0900000158,001090000158,Phục hồi chức năng,CCHN-00158,13,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.698937,2026-06-05T01:40:35.698938,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
159,BS. Vũ Đức Phong,vu.duc.phong68@medibook.vn,0900000159,001090000159,Răng Hàm Mặt,CCHN-00159,28,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.698962,2026-06-05T01:40:35.698963,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
160,BS. Đỗ Hữu Khánh,do.huu.khanh85@medibook.vn,0900000160,001090000160,Nhi khoa,CCHN-00160,6,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.698986,2026-06-05T01:40:35.698987,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
161,BS. Phạm Kim Huy,pham.kim.huy19@medibook.vn,0900000161,001090000161,Răng Hàm Mặt,CCHN-00161,12,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.699009,2026-06-05T01:40:35.699010,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
162,BS. Hoàng Quang Thảo,hoang.quang.thao93@medibook.vn,0900000162,001090000162,Phục hồi chức năng,CCHN-00162,30,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.699033,2026-06-05T01:40:35.699034,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
163,BS. Hồ Minh Minh,ho.minh.minh44@medibook.vn,0900000163,001090000163,Sản phụ khoa,CCHN-00163,27,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.699104,2026-06-05T01:40:35.699106,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
164,BS. Phạm Quang Tâm,pham.quang.tam80@medibook.vn,0900000164,001090000164,Thận - Tiết niệu,CCHN-00164,28,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.699140,2026-06-05T01:40:35.699141,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
165,BS. Ngô Thị Trang,ngo.thi.trang96@medibook.vn,0900000165,001090000165,Da liễu,CCHN-00165,20,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.699167,2026-06-05T01:40:35.699168,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
166,BS. Đỗ Hữu Khánh,do.huu.khanh68@medibook.vn,0900000166,001090000166,Tai Mũi Họng,CCHN-00166,6,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.699196,2026-06-05T01:40:35.699196,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
167,BS. Ngô Anh Phong,ngo.anh.phong38@medibook.vn,0900000167,001090000167,Tiêu hóa - Gan mật,CCHN-00167,19,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.699222,2026-06-05T01:40:35.699223,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
168,BS. Đỗ Anh Sơn,do.anh.son82@medibook.vn,0900000168,001090000168,Hô hấp,CCHN-00168,14,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.699251,2026-06-05T01:40:35.699252,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
169,BS. Phan Quốc Giang,phan.quoc.giang26@medibook.vn,0900000169,001090000169,Mắt,CCHN-00169,28,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.699278,2026-06-05T01:40:35.699279,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
170,BS. Ngô Minh Lan,ngo.minh.lan92@medibook.vn,0900000170,001090000170,Ung bướu / Tầm soát ung thư,CCHN-00170,8,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.699305,2026-06-05T01:40:35.699305,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
171,BS. Ngô Thanh Trang,ngo.thanh.trang55@medibook.vn,0900000171,001090000171,Dinh dưỡng,CCHN-00171,10,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.699348,2026-06-05T01:40:35.699349,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
172,BS. Đỗ Thị Tuấn,do.thi.tuan68@medibook.vn,0900000172,001090000172,Phục hồi chức năng,CCHN-00172,31,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.699383,2026-06-05T01:40:35.699384,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
173,BS. Vũ Quang Phương,vu.quang.phuong52@medibook.vn,0900000173,001090000173,Phục hồi chức năng,CCHN-00173,16,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.699410,2026-06-05T01:40:35.699411,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
174,BS. Đặng Minh Yến,dặng.minh.yen24@medibook.vn,0900000174,001090000174,Nội tổng quát,CCHN-00174,29,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.699437,2026-06-05T01:40:35.699438,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
175,BS. Đặng Hữu Nam,dặng.huu.nam72@medibook.vn,0900000175,001090000175,Dinh dưỡng,CCHN-00175,6,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.699464,2026-06-05T01:40:35.699465,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
176,BS. Trần Đức Linh,tran.duc.linh37@medibook.vn,0900000176,001090000176,Cơ xương khớp,CCHN-00176,34,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.699490,2026-06-05T01:40:35.699491,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
177,BS. Vũ Văn Minh,vu.van.minh58@medibook.vn,0900000177,001090000177,Ngoại thần kinh / Cột sống,CCHN-00177,14,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.699513,2026-06-05T01:40:35.699514,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
178,BS. Đặng Văn Minh,dặng.van.minh40@medibook.vn,0900000178,001090000178,Nhi khoa,CCHN-00178,22,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.699536,2026-06-05T01:40:35.699537,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
179,BS. Đỗ Anh Giang,do.anh.giang83@medibook.vn,0900000179,001090000179,Răng Hàm Mặt,CCHN-00179,29,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.699559,2026-06-05T01:40:35.699560,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
180,BS. Nguyễn Thanh Phương,nguyen.thanh.phuong11@medibook.vn,0900000180,001090000180,Tim mạch,CCHN-00180,6,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.699582,2026-06-05T01:40:35.699583,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
181,BS. Vũ Hữu Anh,vu.huu.anh61@medibook.vn,0900000181,001090000181,Răng Hàm Mặt,CCHN-00181,19,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.699605,2026-06-05T01:40:35.699606,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
182,BS. Bùi Quốc Cường,bui.quoc.cuong62@medibook.vn,0900000182,001090000182,Ngoại thần kinh / Cột sống,CCHN-00182,35,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.699628,2026-06-05T01:40:35.699629,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
183,BS. Dương Đức Huy,duong.duc.huy53@medibook.vn,0900000183,001090000183,Hô hấp,CCHN-00183,24,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.699651,2026-06-05T01:40:35.699652,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
184,BS. Đặng Kim Hùng,dặng.kim.hung33@medibook.vn,0900000184,001090000184,Phục hồi chức năng,CCHN-00184,10,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.699674,2026-06-05T01:40:35.699675,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
185,BS. Dương Thị Cường,duong.thi.cuong21@medibook.vn,0900000185,001090000185,Ngoại thần kinh / Cột sống,CCHN-00185,32,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.699698,2026-06-05T01:40:35.699699,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
186,BS. Bùi Minh Trang,bui.minh.trang80@medibook.vn,0900000186,001090000186,Sản phụ khoa,CCHN-00186,16,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.699725,2026-06-05T01:40:35.699726,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
187,BS. Hồ Kim Cường,ho.kim.cuong67@medibook.vn,0900000187,001090000187,Sản phụ khoa,CCHN-00187,29,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.699750,2026-06-05T01:40:35.699751,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
188,BS. Nguyễn Hồng Tâm,nguyen.hong.tam62@medibook.vn,0900000188,001090000188,Tiêu hóa - Gan mật,CCHN-00188,33,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.699775,2026-06-05T01:40:35.699776,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
189,BS. Đặng Văn Thảo,dặng.van.thao26@medibook.vn,0900000189,001090000189,Nội tổng quát,CCHN-00189,17,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.699800,2026-06-05T01:40:35.699801,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
190,BS. Phạm Quốc Trang,pham.quoc.trang51@medibook.vn,0900000190,001090000190,Thận - Tiết niệu,CCHN-00190,16,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.699825,2026-06-05T01:40:35.699826,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
191,BS. Nguyễn Quang Hùng,nguyen.quang.hung86@medibook.vn,0900000191,001090000191,Tai Mũi Họng,CCHN-00191,34,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.699850,2026-06-05T01:40:35.699851,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
192,BS. Lý Kim Vy,ly.kim.vy77@medibook.vn,0900000192,001090000192,Răng Hàm Mặt,CCHN-00192,12,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.699875,2026-06-05T01:40:35.699876,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
193,BS. Lý Đức Yến,ly.duc.yen60@medibook.vn,0900000193,001090000193,Răng Hàm Mặt,CCHN-00193,14,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.699899,2026-06-05T01:40:35.699900,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
194,BS. Trần Đức Lan,tran.duc.lan86@medibook.vn,0900000194,001090000194,Mắt,CCHN-00194,3,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.699929,2026-06-05T01:40:35.699930,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
195,BS. Lê Đức Phong,lc.duc.phong33@medibook.vn,0900000195,001090000195,Tiêu hóa - Gan mật,CCHN-00195,19,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.699954,2026-06-05T01:40:35.699955,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
196,BS. Hoàng Văn Giang,hoang.van.giang85@medibook.vn,0900000196,001090000196,Nhi khoa,CCHN-00196,17,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.699981,2026-06-05T01:40:35.700044,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
197,BS. Ngô Thanh Phong,ngo.thanh.phong68@medibook.vn,0900000197,001090000197,Y học cổ truyền,CCHN-00197,15,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.700110,2026-06-05T01:40:35.700112,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
198,BS. Phan Hữu Tâm,phan.huu.tam95@medibook.vn,0900000198,001090000198,Răng Hàm Mặt,CCHN-00198,12,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.700144,2026-06-05T01:40:35.700145,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
199,BS. Lê Hữu Hải,lc.huu.hai80@medibook.vn,0900000199,001090000199,Răng Hàm Mặt,CCHN-00199,4,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.700177,2026-06-05T01:40:35.700179,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
200,BS. Phan Đức Linh,phan.duc.linh84@medibook.vn,0900000200,001090000200,Ngoại tổng quát,CCHN-00200,18,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.700210,2026-06-05T01:40:35.700211,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
